"","Gene","Marker_ID","Gene_ID","b1","b1_p","bonf_p","eChr","ePos","Probe","mChr","mPos","strand","dist"
"5039","ACACB",88776,4301,-3.455,1.6e-08,0.014434224,12,109577201,"cg05858136",12,109530080,1,-47121
"5044","ACACB",88825,4301,-4.821,3.89e-11,3.50932071e-05,12,109577201,"cg19786751",12,109639296,1,62095
"5045","ACACB",88826,4301,-4.424,8.31e-12,7.49677509e-06,12,109577201,"cg06131338",12,109639461,1,62260
"5282","ACADS",91086,4398,5.931,4.69e-10,0.000423103191,12,121163540,"ch.12.2506678F",12,121154867,1,-8673
"5302","ACADS",91088,4398,-6.449,3.31e-08,0.0298608009,12,121163540,"cg24318537",12,121159512,1,-4028
"5544","ACAP1",146071,6688,8.409,4.42e-08,0.0398745438,17,7239847,"cg05490983",17,7164286,1,-75561
"5545","ACAP1",146225,6688,-10.241,4.21e-08,0.0379800519,17,7239847,"cg16880424",17,7287922,1,48075
"5548","ACAP1",146186,6688,5.961,1.98e-12,1.78623522e-06,17,7239847,"cg19175364",17,7249511,1,9664
"5550","ACAP1",146213,6688,4.115,1.46e-08,0.0131712294,17,7239847,"cg18632631",17,7284049,1,44202
"5551","ACAP1",146185,6688,-7.467,2.23e-13,2.01176997e-07,17,7239847,"cg25671438",17,7240223,1,376
"5552","ACAP1",146212,6688,9.039,9.29e-12,8.38087131e-06,17,7239847,"cg18054943",17,7283897,1,44050
"5556","ACAP1",146191,6688,3.891,4.33e-09,0.00390626187,17,7239847,"cg07148458",17,7254301,1,14454
"5557","ACAP1",146215,6688,29.434,1.74e-08,0.0156972186,17,7239847,"cg10290814",17,7284330,1,44483
"5558","ACAP1",146222,6688,-7.905,1.71e-08,0.0154265769,17,7239847,"cg23878564",17,7287449,1,47602
"5924","ACAT1",71669,3355,-4.012,5.24e-13,4.72720836e-07,11,107992257,"cg24079790",11,107993467,1,1210
"6232","ACBD6",27525,1430,1.113,8.9e-11,8.0290371e-05,1,180257351,"cg09671258",1,180202530,-1,54821
"7272","ACOX1",160019,7488,5.196,9.76e-14,8.80487664e-08,17,73937588,"cg15936999",17,73840853,-1,96735
"7303","ACOX1",160024,7488,-2.637,2.16e-08,0.0194862024,17,73937588,"cg21843902",17,73847414,-1,90174
"7314","ACOX1",160016,7488,4.872,3.29e-09,0.00296803731,17,73937588,"cg21333665",17,73840659,-1,96929
"7316","ACOX1",160124,7488,-5.301,6.37e-09,0.00574662543,17,73937588,"cg07471052",17,73996245,-1,-58657
"7322","ACOX1",160017,7488,3.842,1.99e-10,0.000179525661,17,73937588,"cg15177359",17,73840750,-1,96838
"7361","ACOX1",160125,7488,-3.938,2.14e-15,1.93057746e-09,17,73937588,"cg14040633",17,73996331,-1,-58743
"7368","ACOX1",160126,7488,-4.548,8.69e-11,7.83958791e-05,17,73937588,"cg14666354",17,73996423,-1,-58835
"7369","ACOX1",160022,7488,3.901,1.32e-09,0.00119082348,17,73937588,"cg22467534",17,73841658,-1,95930
"7385","ACOX2",240716,11671,-10.906,1.68e-18,1.51559352e-12,3,58490862,"cg16209444",3,58522771,-1,-31909
"8625","ACSL1",266384,12870,-6.126,5.53e-16,4.98882867e-10,4,185676748,"cg08823975",4,185724646,-1,-47898
"8626","ACSL1",266383,12870,-6.699,9.1e-13,8.2094649e-07,4,185676748,"cg03498175",4,185724569,-1,-47821
"8627","ACSL1",266382,12870,-7.764,2.23e-16,2.01176997e-10,4,185676748,"cg01899937",4,185723505,-1,-46757
"8644","ACSL5",48854,2358,-5.905,9.34e-12,8.42597826e-06,10,114135955,"cg02402091",10,114135092,1,-863
"8645","ACSL5",48852,2358,-3.945,3.86e-13,3.48225654e-07,10,114135955,"cg25780389",10,114134915,1,-1040
"8646","ACSL5",48858,2358,-4.029,1.11e-12,1.00137429e-06,10,114135955,"cg04844987",10,114136053,1,98
"8647","ACSL5",48859,2358,-4.065,2.95e-13,2.66131005e-07,10,114135955,"cg16920551",10,114136073,1,118
"8648","ACSL5",48853,2358,-4.206,2.77e-13,2.49892503e-07,10,114135955,"cg16066219",10,114135054,1,-901
"8649","ACSL5",48851,2358,-4.769,3.97e-14,3.58149183e-08,10,114135955,"cg18733757",10,114134878,1,-1077
"8755","ACSS2",218630,10438,-4.081,2.59e-09,0.00233654001,20,33464327,"cg09801828",20,33462656,1,-1671
"9249","ACTL6B",325718,15098,-5.419,1.86e-08,0.0167797854,7,100240725,"cg09042411",7,100172231,-1,68494
"10802","ACY1",239650,11611,-5.296,5.98e-12,5.39479122e-06,3,52017299,"cg16159313",3,52018129,1,830
"11455","ADAM19",281788,13554,-4.266,3.39e-08,0.0305825121,5,156904311,"cg07301795",5,157001698,-1,-97387
"11798","ADAM9",339637,15617,-2.666,9.9e-09,0.0089311761,8,38854504,"cg13514772",8,38770414,1,-84090
"12456","ADAP1",313122,14621,5.116,3.04e-08,0.0274250256,7,937536,"cg18664596",7,947151,-1,-9615
"12465","ADAP1",313173,14621,-3.988,8.7e-12,7.8486093e-06,7,937536,"cg00830813",7,984874,-1,-47338
"14180","ADI1",190338,9115,-4.713,7.44e-21,6.71191416e-15,2,3501689,"cg01808050",2,3521258,-1,-19569
"14187","ADI1",190337,9115,-4.834,2.51e-12,2.26436889e-06,2,3501689,"cg11901362",2,3507404,-1,-5715
"14430","ADIPOR2",76565,3567,-1.978,3.43e-09,0.00309433677,12,1800246,"cg17123639",12,1741869,1,-58377
"14432","ADIPOR2",76566,3567,-1.924,1.79e-10,0.000161482881,12,1800246,"cg21497780",12,1742536,1,-57710
"15045","ADPRHL1",103300,4761,-3.657,1.29e-08,0.0116375931,13,114076254,"cg10624914",13,114103477,-1,-27223
"15046","ADPRHL1",103302,4761,-4.339,3.62e-11,3.26574318e-05,13,114076254,"cg26112170",13,114103713,-1,-27459
"15168","ADRB2",280720,13490,-6.112,1.32e-10,0.000119082348,5,148206155,"cg09516529",5,148120455,1,-85700
"16348","AGA",265852,12860,4.495,3.45e-08,0.0311237955,4,178351928,"cg18427120",4,178377613,-1,-25685
"18279","AGL",19095,814,-4.31,2.16e-13,1.94862024e-07,1,100316044,"cg06086933",1,100326491,1,10447
"18281","AGL",19097,814,-3.024,5.04e-12,4.54678056e-06,1,100316044,"cg18377446",1,100335651,1,19607
"19629","AGRN",147,11,2.448,2.72e-09,0.00245381808,1,955502,"cg22381068",1,906363,1,-49139
"19672","AGRN",229,11,-4.525,1.62e-08,0.0146146518,1,955502,"cg24704476",1,956799,1,1297
"19682","AGRN",148,11,4.433,3.98e-09,0.00359051322,1,955502,"cg22481263",1,906493,1,-49009
"19706","AGRN",146,11,3.189,6.34e-09,0.00571956126,1,955502,"cg23207077",1,905988,1,-49514
"21779","AIM2",24946,1245,-7.694,7.7e-09,0.0069464703,1,159032274,"cg00490406",1,159046773,-1,-14499
"22731","AKAP8",177372,8231,0.727,1.28e-08,0.0115473792,19,15464331,"cg14723977",19,15532806,-1,-68475
"22968","AKNA",353321,16419,-5.66,5.16e-10,0.000465503724,9,117096432,"cg14406134",9,117014922,-1,81510
"23142","AKR1E2",37109,1827,-5.971,1.25e-08,0.0112767375,10,4868368,"cg19165274",10,4868328,1,-40
"23143","AKR1E2",37110,1827,-4.49,8.16e-11,7.36145424e-05,10,4868368,"cg20282550",10,4868331,1,-37
"23144","AKR1E2",37111,1827,-3.864,1.54e-08,0.0138929406,10,4868368,"cg19392551",10,4868333,1,-35
"23145","AKR1E2",37112,1827,-4.166,2.54e-10,0.000229143306,10,4868368,"cg04225104",10,4868335,1,-33
"23723","ALAS1",239700,11615,5.72,8.96e-09,0.00808316544,3,52232098,"cg00238349",3,52187791,1,-44307
"23735","ALAS1",239713,11615,-4.058,1.99e-15,1.79525661e-09,3,52232098,"cg18094261",3,52216318,1,-15780
"23738","ALAS1",239791,11615,-5.16,1.45e-16,1.30810155e-10,3,52232098,"cg25198967",3,52325846,1,93748
"23739","ALAS1",239724,11615,-4.787,3.05e-18,2.75152395e-12,3,52232098,"cg13241645",3,52235959,1,3861
"23740","ALAS1",239722,11615,-4.878,1.31e-08,0.0118180209,3,52232098,"cg15698299",3,52233019,1,921
"24039","ALDH2",89460,4333,-16.785,6.17e-13,5.56619763e-07,12,112204690,"cg16290534",12,112207529,1,2839
"24097","ALDH3A2",148873,6845,-2.564,3.64e-08,0.0328378596,17,19552063,"cg24126880",17,19624390,1,72327
"24123","ALDH4A1",7440,215,-6.659,1.41e-08,0.0127201599,1,19197923,"cg12461099",1,19217794,-1,-19871
"24144","ALDH5A1",288522,13796,-3.574,1.94e-14,1.75014966e-08,6,24495196,"cg12624523",6,24489770,1,-5426
"24146","ALDH5A1",288523,13796,-3.619,1.12e-09,0.00101039568,6,24495196,"cg00339769",6,24489855,1,-5341
"24152","ALDH5A1",288526,13796,-4.857,1.5e-10,0.00013532085,6,24495196,"cg02346062",6,24491168,1,-4028
"24604","ALG1L",244619,11868,-3.876,1.7e-08,0.015336363,3,125648117,"cg07473553",3,125655407,-1,-7290
"25195","ALKBH3",61338,2793,-4.002,5.76e-12,5.19632064e-06,11,43902356,"cg15593337",11,43902276,1,-80
"25196","ALKBH3",61339,2793,-3.954,1.48e-12,1.33516572e-06,11,43902356,"cg20009641",11,43902290,1,-66
"25197","ALKBH3",61340,2793,-4.398,3.8e-10,0.00034281282,11,43902356,"cg17838765",11,43902310,1,-46
"25198","ALKBH3",61341,2793,-3.535,2.6e-12,2.3455614e-06,11,43902356,"cg12046254",11,43902315,1,-41
"25199","ALKBH3",61342,2793,-3.517,3.69e-11,3.32889291e-05,11,43902356,"cg03342084",11,43902343,1,-13
"25200","ALKBH3",61343,2793,-4.202,4.98e-12,4.49265222e-06,11,43902356,"cg22637507",11,43902407,1,51
"25201","ALKBH3",61344,2793,-3.301,1.34e-09,0.00120886626,11,43902356,"cg17956609",11,43902458,1,102
"25768","ALMS1P",198276,9447,-2.723,3.97e-08,0.0358149183,2,73872045,"cg15060346",2,73868736,1,-3309
"25888","ALOX5",41079,1981,4.262,3.99e-09,0.00359953461,10,45869623,"cg08229320",10,45941351,1,71728
"25940","ALPP",212234,10146,-9.337,5.57e-11,5.02491423e-05,2,233243243,"cg24586870",2,233198590,1,-44653
"25980","ALPPL2",212234,10147,-9.916,2.47e-24,2.22828333e-18,2,233271551,"cg24586870",2,233198590,1,-72961
"25983","ALPPL2",212263,10147,-12.174,2.46e-11,2.21926194e-05,2,233271551,"cg22076143",2,233271583,1,32
"26811","AMH",171567,7909,4.54,3.51e-11,3.16650789e-05,19,2249112,"cg22774088",19,2253398,1,4286
"26812","AMH",171566,7909,5.88,1.36e-13,1.22690904e-07,19,2249112,"cg01467266",19,2252961,1,3849
"26813","AMH",171565,7909,4.216,2.34e-10,0.000211100526,19,2249112,"cg04887494",19,2252786,1,3674
"26879","AMICA1",73116,3427,5.912,1.62e-08,0.0146146518,11,118064441,"cg15376097",11,118135270,-1,-70829
"26890","AMICA1",73081,3427,3.512,3.45e-08,0.0311237955,11,118064441,"cg18468235",11,118066105,-1,-1664
"26905","AMICA1",73115,3427,12.342,2.61e-08,0.0235458279,11,118064441,"cg07315693",11,118135203,-1,-70762
"28570","ANG",104077,4786,-16.403,2.08e-12,1.87644912e-06,14,21152335,"cg18321533",14,21162163,1,9828
"28571","ANG",104076,4786,-8.533,1.45e-14,1.30810155e-08,14,21152335,"cg05296180",14,21161619,1,9284
"30135","ANKRD13D",66827,3118,-3.05,1.13e-09,0.00101941707,11,67056761,"cg03790236",11,67057248,1,487
"30195","ANKRD13D",66828,3118,-2.599,3.4e-08,0.030672726,11,67056761,"cg09091424",11,67057304,1,543
"30828","ANKRD35",21614,977,-3.328,2.42e-16,2.18317638e-10,1,145549208,"cg04846710",1,145478286,1,-70922
"31334","ANKRD52",84211,4036,2.072,2.72e-10,0.000245381808,12,56631590,"cg00274203",12,56661537,-1,-29947
"31782","ANKS3",130859,5976,3.02,7.31e-09,0.00659463609,16,4746510,"cg05782454",16,4702834,-1,43676
"31834","ANKS3",130883,5976,4.358,1.65e-11,1.48852935e-05,16,4746510,"cg04208175",16,4734629,-1,11881
"31847","ANKS3",130817,5976,3.603,8.82e-10,0.000795686598,16,4746510,"cg05009047",16,4659466,-1,87044
"31863","ANKS3",130874,5976,3.143,1.64e-09,0.00147950796,16,4746510,"cg10505257",16,4731639,-1,14871
"31889","ANKS3",130889,5976,1.586,6.35e-10,0.000572858265,16,4746510,"cg00033551",16,4738568,-1,7942
"31909","ANKS3",130890,5976,7.331,8.32e-09,0.00750579648,16,4746510,"cg03157150",16,4738680,-1,7830
"32461","ANO9",54328,2490,-8.559,8.31e-15,7.49677509e-09,11,417929,"cg19598514",11,442149,-1,-24220
"32462","ANO9",54281,2490,8.109,1.43e-10,0.000129005877,11,417929,"cg11364895",11,406019,-1,11910
"32463","ANO9",54288,2490,7.722,1.85e-12,1.66895715e-06,11,417929,"cg19351617",11,409089,-1,8840
"32464","ANO9",54279,2490,6.915,9.81e-11,8.84998359e-05,11,417929,"cg12072972",11,405958,-1,11971
"32465","ANO9",54280,2490,7.168,2.12e-12,1.91253468e-06,11,417929,"cg17376853",11,405970,-1,11959
"32764","ANXA2",120202,5527,-2.944,4.11e-09,0.00370779129,15,60639349,"cg14397690",15,60688948,-1,-49599
"32765","ANXA2",120201,5527,-2.063,5.22e-10,0.000470916558,15,60639349,"cg22365276",15,60688622,-1,-49273
"32769","ANXA2",120203,5527,-3.16,9.46e-12,8.53423494e-06,15,60639349,"cg02072495",15,60689285,-1,-49936
"33449","AP1G2",104891,4842,-4.618,3.76e-09,0.00339204264,14,24028771,"cg02945646",14,24037169,-1,-8398
"34134","AP2B1",150834,6959,2.686,8.71e-10,0.000785763069,17,33914281,"cg27563239",17,33993210,1,78929
"34763","AP4M1",325574,15075,2.316,1.71e-09,0.00154265769,7,99699129,"cg10084644",7,99775521,1,76392
"34782","AP4M1",325576,15075,2.59,5.68e-10,0.000512414952,7,99699129,"cg00553149",7,99775558,1,76429
"34812","AP4M1",325429,15075,2.414,1.86e-08,0.0167797854,7,99699129,"cg04193037",7,99637061,1,-62068
"34910","AP4M1",325573,15075,2.436,2.43e-10,0.000219219777,7,99699129,"cg04778012",7,99775508,1,76379
"34919","AP4M1",325575,15075,1.915,1.09e-09,0.00098333151,7,99699129,"cg15140703",7,99775532,1,76403
"35011","APBA2",116388,5311,4.194,3.13e-09,0.00282369507,15,29213839,"cg20840847",15,29213626,1,-213
"36528","APOBEC3D",230432,11128,-2.622,7.39e-10,0.000666680721,22,39417117,"cg16066354",22,39417451,1,334
"36684","APOE",183531,8674,-8.902,1.11e-12,1.00137429e-06,19,45409005,"cg04347059",19,45445486,1,36481
"37316","AQP1",319042,14772,-6.179,1.07e-10,9.6528873e-05,7,30951414,"cg20176648",7,30951064,1,-350
"37317","AQP1",319043,14772,-6.047,1.89e-15,1.70504271e-09,7,30951414,"cg00622010",7,30951086,1,-328
"37318","AQP1",319044,14772,-4.808,3.13e-12,2.82369507e-06,7,30951414,"cg09676669",7,30951272,1,-142
"37319","AQP1",319045,14772,-4.812,2.94e-11,2.65228866e-05,7,30951414,"cg15373767",7,30951328,1,-86
"37320","AQP1",319046,14772,-4.365,1.3e-13,1.1727807e-07,7,30951414,"cg04372674",7,30951381,1,-33
"37321","AQP1",319047,14772,-4.433,7.37e-13,6.64876443e-07,7,30951414,"cg25075794",7,30951392,1,-22
"37322","AQP1",319048,14772,-4.237,2.51e-10,0.000226436889,7,30951414,"cg25230363",7,30951425,1,11
"37323","AQP1",319049,14772,-4.503,2.82e-10,0.000254403198,7,30951414,"cg26923410",7,30951432,1,18
"37324","AQP1",319050,14772,-4.852,5.7e-11,5.1421923e-05,7,30951414,"cg18080604",7,30951492,1,78
"37325","AQP1",319051,14772,-4.86,7.23e-13,6.52246497e-07,7,30951414,"cg11827925",7,30951498,1,84
"37326","AQP1",319052,14772,-9.396,1.51e-15,1.36222989e-09,7,30951414,"cg07135629",7,30951709,1,295
"37327","AQP1",319053,14772,-5.407,1.26e-11,1.13669514e-05,7,30951414,"cg04551925",7,30951740,1,326
"37328","AQP1",319054,14772,-5.245,4.37e-13,3.94234743e-07,7,30951414,"cg10132917",7,30951801,1,387
"37329","AQP1",319056,14772,-4.723,1.05e-11,9.4724595e-06,7,30951414,"cg03310518",7,30954522,1,3108
"37520","AQP4",166567,7688,6.467,4.19e-09,0.00377996241,18,24432007,"cg00729275",18,24445134,-1,-13127
"37676","ARAP3",280012,13454,-2.499,9.78e-09,0.00882291942,5,141032967,"cg11136562",5,141061285,-1,-28318
"39343","ARHGAP25",197369,9399,-3.871,4.11e-09,0.00370779129,2,69001932,"cg09721047",2,68962012,1,-39920
"39354","ARHGAP25",197379,9399,-4.075,2.97e-09,0.00267935283,2,69001932,"cg12093662",2,69001870,1,-62
"39356","ARHGAP25",197381,9399,-5.364,8.42e-10,0.000759601038,2,69001932,"cg25039325",2,69002111,1,179
"39501","ARHGAP30",25400,1288,-5.261,6.7e-09,0.0060443313,1,161016731,"cg00045607",1,161039690,-1,-22959
"39504","ARHGAP30",25357,1288,8.207,1.36e-09,0.00122690904,1,161016731,"cg00945666",1,160990265,-1,26466
"39553","ARHGAP30",25401,1288,-4.79,8.02e-10,0.000723515478,1,161016731,"cg03089651",1,161039695,-1,-22964
"40841","ARHGEF10",335367,15434,3.794,8.4e-10,0.00075779676,8,1772148,"cg20149022",8,1863072,1,90924
"41287","ARHGEF18",174040,8027,4.512,2.13e-08,0.0192155607,19,7459998,"cg27479455",19,7529920,1,69922
"41319","ARHGEF19",6847,192,-5.262,9.24e-09,0.00833576436,1,16524598,"cg05764238",1,16536990,-1,-12392
"41378","ARHGEF2",24111,1186,-2.048,5.13e-08,0.0462797307,1,155916629,"cg00246451",1,155949012,-1,-32383
"41401","ARHGEF2",24101,1186,-2.051,4.24e-08,0.0382506936,1,155916629,"cg11216632",1,155944655,-1,-28026
"41404","ARHGEF2",24109,1186,-2.434,4.86e-09,0.00438439554,1,155916629,"cg23320056",1,155948742,-1,-32113
"41942","ARID3C",350692,16128,-18.103,2.39e-12,2.15611221e-06,9,34621454,"cg14252998",9,34635016,-1,-13562
"42366","ARL11",98356,4635,-3.292,1.8e-08,0.016238502,13,50202434,"cg01425731",13,50202658,1,224
"42375","ARL11",98338,4635,2.863,2.46e-08,0.0221926194,13,50202434,"cg10196532",13,50134640,1,-67794
"42428","ARL14",248521,12054,-4.623,4.35e-13,3.92430465e-07,3,160394947,"cg20725880",3,160395719,1,772
"42898","ARL4C",212730,10179,-2.857,9.12e-09,0.00822750768,2,235401685,"cg15016771",2,235403218,-1,-1533
"42900","ARL4D",153566,7147,-4.595,3.58e-13,3.22965762e-07,17,41476352,"cg06795960",17,41477948,1,1596
"42901","ARL4D",153565,7147,-4.79,3.19e-08,0.0287782341,17,41476352,"cg18256949",17,41477468,1,1116
"42902","ARL4D",153564,7147,-5.813,3.93e-14,3.54540627e-08,17,41476352,"cg27147556",17,41477350,1,998
"42903","ARL4D",153563,7147,-4.365,4.47e-11,4.03256133e-05,17,41476352,"cg01445163",17,41477300,1,948
"43572","ARMC6",178874,8321,5.899,2.02e-08,0.0182232078,19,19144386,"cg02774856",19,19052293,1,-92093
"43607","ARMC6",178890,8321,-2.184,2.63e-10,0.000237262557,19,19144386,"cg07064050",19,19165011,1,20625
"45159","ART1",57091,2563,1.817,9.21e-09,0.00830870019,11,3666360,"cg20598333",11,3663511,1,-2849
"45164","ART1",57092,2563,1.739,7.21e-09,0.00650442219,11,3666360,"cg05679507",11,3663543,1,-2817
"45234","ART4",79131,3743,-3.779,2.99e-08,0.0269739561,12,14982244,"cg08905654",12,14996743,-1,-14499
"45235","ART4",79125,3743,-3.786,3.06e-10,0.000276054534,12,14982244,"cg13573513",12,14996143,-1,-13899
"45236","ART4",79126,3743,-3.963,3.03e-09,0.00273348117,12,14982244,"cg20967028",12,14996272,-1,-14028
"46201","ASB2",111740,5182,-13.481,3.03e-08,0.0273348117,14,94400498,"cg09247392",14,94424156,-1,-23658
"46204","ASB2",111746,5182,-4.316,5.86e-09,0.00528653454,14,94400498,"cg09948958",14,94443055,-1,-42557
"46651","ASCL2",56192,2542,-5.374,5.4e-08,0.048715506,11,2289727,"cg12428727",11,2234665,-1,55062
"47298","ASNS",324765,15037,-25.895,1.68e-09,0.00151559352,7,97481428,"cg08114476",7,97501901,-1,-20473
"47299","ASNS",324760,15037,-69.881,1.1e-09,0.0009923529,7,97481428,"cg20943339",7,97501484,-1,-20056
"47337","ASPA",144738,6598,-4.084,4.61e-09,0.00415886079,17,3379295,"cg21941611",17,3378804,1,-491
"47338","ASPA",144739,6598,-5.078,9.59e-09,0.00865151301,17,3379295,"cg26217813",17,3378996,1,-299
"47757","ASS1",354835,16559,5.218,2.19e-12,1.97568441e-06,9,133320093,"cg14506175",9,133336854,1,16761
"48810","ATF5",185934,8842,-7.127,6.65e-15,5.99922435e-09,19,50431958,"cg07603484",19,50434179,1,2221
"49918","ATF7IP2",131394,5996,-3.126,3.66e-08,0.0330182874,16,10479911,"cg06754445",16,10479875,1,-36
"49919","ATF7IP2",131395,5996,-2.705,1.14e-08,0.0102843846,16,10479911,"cg05064297",16,10479966,1,55
"52021","ATP1A1",20954,934,-2.512,3.25e-08,0.0293195175,1,116915794,"cg15071463",1,116854912,1,-60882
"52030","ATP1A1",20971,934,-2.639,2.69e-09,0.00242675391,1,116915794,"cg04403423",1,116917619,1,1825
"52693","ATP4A",180515,8431,35.875,4.86e-11,4.38439554e-05,19,36041094,"cg10687823",19,36103576,-1,-62482
"57365","ATXN7L3",153964,7167,1.345,4.27e-08,0.0385213353,17,42269172,"cg25653802",17,42324392,-1,-55220
"57969","AURKB",146959,6740,-7.802,2.43e-08,0.0219219777,17,8108048,"cg11009596",17,8113758,-1,-5710
"58404","AVPI1",46385,2252,-2.208,1.27e-10,0.000114571653,10,99437180,"cg08181251",10,99443455,-1,-6275
"58677","AXIN2",158305,7393,-6.026,1.61e-10,0.000145244379,17,63524682,"cg11122009",17,63554536,-1,-29854
"59185","B3GALT4",297846,14027,-2.704,6.29e-14,5.67445431e-08,6,33244916,"cg11772919",6,33245328,1,412
"59255","B3GALT4",297845,14027,-2.895,1.6e-14,1.4434224e-08,6,33244916,"cg15543281",6,33245181,1,265
"59259","B3GALT4",297848,14027,-2.796,3.57e-16,3.22063623e-10,6,33244916,"cg10633838",6,33245359,1,443
"59267","B3GALT4",297837,14027,-6.024,3.35e-09,0.00302216565,6,33244916,"cg20530204",6,33244709,1,-207
"59413","B3GALT4",297841,14027,-3.184,5.75e-12,5.18729925e-06,6,33244916,"cg21333861",6,33244976,1,60
"59486","B3GALT4",297847,14027,-2.9,6.23e-16,5.62032597e-10,6,33244916,"cg13365340",6,33245342,1,426
"59494","B3GALT4",297576,14027,-2.958,2.03e-08,0.0183134217,6,33244916,"cg27018424",6,33173425,1,-71491
"59514","B3GALT4",297849,14027,-3.047,1.18e-10,0.000106452402,6,33244916,"cg11626629",6,33245460,1,544
"59515","B3GALT4",297840,14027,-4.847,1.63e-09,0.00147048657,6,33244916,"cg26381352",6,33244799,1,-117
"59645","B3GALT4",297850,14027,-2.267,3.75e-10,0.000338302125,6,33244916,"cg04263436",6,33245467,1,551
"59681","B3GALT4",297843,14027,-2.96,3.92e-14,3.53638488e-08,6,33244916,"cg27098900",6,33245128,1,212
"59733","B3GALT4",297838,14027,-3.735,1.83e-09,0.00165091437,6,33244916,"cg17225129",6,33244755,1,-161
"59816","B3GALT4",297844,14027,-2.614,1.44e-14,1.29908016e-08,6,33244916,"cg19664267",6,33245163,1,247
"59867","B3GALT4",297839,14027,-3.547,1.11e-14,1.00137429e-08,6,33244916,"cg27373972",6,33244788,1,-128
"59911","B3GALT4",297842,14027,-3.723,1.45e-13,1.30810155e-07,6,33244916,"cg07348922",6,33244990,1,74
"60498","B3GAT1",76166,3554,8.663,1.67e-08,0.0150657213,11,134248397,"cg22212839",11,134251539,-1,-3142
"60824","B3GNT8",182551,8586,-3.739,2.69e-09,0.00242675391,19,41931263,"cg16849024",19,41934210,-1,-2947
"62409","BAG2",302420,14234,-2.966,1.47e-09,0.00132614433,6,57037103,"cg10230427",6,57038227,1,1124
"62423","BAG2",302421,14234,-2.628,3.11e-08,0.0280565229,6,57037103,"cg27164797",6,57038231,1,1128
"62820","BAHCC1",163223,7554,-4.251,2.86e-09,0.00258011754,17,79373520,"cg03139388",17,79394412,1,20892
"63338","BAIAP2L1",324814,15043,14.099,1.48e-09,0.00133516572,7,97920961,"cg07006818",7,97832945,-1,88016
"63350","BAIAP2L2",230146,11107,-4.931,2.64e-15,2.38164696e-09,22,38480895,"cg27505627",22,38506589,-1,-25694
"63351","BAIAP2L2",230143,11107,4.738,7.26e-12,6.54952914e-06,22,38480895,"cg00419702",22,38485294,-1,-4399
"63671","BAMBI",39676,1934,-3.079,2.33e-10,0.000210198387,10,28966423,"cg05046589",10,28970534,1,4111
"64253","BATF",110020,5115,-3.75,3.68e-10,0.000331987152,14,75988783,"cg09937039",14,75989203,1,420
"64254","BATF",110016,5115,-3.91,3.16e-09,0.00285075924,14,75988783,"cg15645309",14,75988747,1,-36
